Year,FZ,sf,mf,total_households
1990,16,330814.6946,488450.4766,819265.1712
1990,17,166998.267,192269.0994,359267.3664
1991,16,334185.3642,492850.6852,827036.0494
1991,17,167898.1487,193436.2001,361334.3488
1992,16,336476.1928,499400.4641,835876.6569
1992,17,168888.8475,194957.0581,363845.9056
1993,16,339164.9739,502590.628,841755.6019
1993,17,169547.8809,195503.7089,365051.5898
1994,16,339217.0514,503102.9953,842320.0467
1994,17,168746.1386,195188.5829,363934.7215
1995,16,337430.6967,501322.3763,838753.073
1995,17,167530.9705,193508.1648,361039.1353
1996,16,338649.2002,502581.019,841230.2192
1996,17,167393.7179,193366.3812,360760.0991
1997,16,339877.7312,504876.0722,844753.8034
1997,17,167455.8106,193466.7495,360922.5601
1998,16,341216.647,507035.517,848252.1641
1998,17,167571.2234,193493.9341,361065.1575
1999,16,342430.7316,508527.4313,850958.1628
1999,17,167233.0584,193630.1306,360863.189
2000,16,342654.9549,510442.4831,853097.438
2000,17,167157.6405,193255.7119,360413.3523
2001,16,347845.6501,504304.6136,852150.2637
2001,17,172301.1022,188247.5945,360548.6967
2002,16,348787.5846,503125.6066,851913.1913
2002,17,173628.0804,187356.0698,360984.1502
2003,16,349707.2504,503704.9956,853412.246
2003,17,173590.8534,186806.0754,360396.9289
2004,16,349626.042,504779.5968,854405.6388
2004,17,174052.9372,186900.7044,360953.6416
2005,16,351324.7236,505825.6524,857150.376
2005,17,174404.5387,185891.5305,360296.0692
2006,16,354488.9394,509317.6166,863806.556
2006,17,175895.3145,186155.835,362051.1495
2007,16,357013.7229,510892.1501,867905.8731
2007,17,176926.5082,186087.0459,363013.5541
2008,16,359185.4966,514705.6815,873891.1781
2008,17,179045.8054,186964.8973,366010.7027
2009,16,355834.0044,508499.7667,864333.7711
2009,17,186520.8166,193062.9498,379583.7664
2010,16,345515.8215,492582.1909,838098.0123
2010,17,180953.5413,186301.4988,367255.0401
2011,16,346251.7852,494149.1912,840400.9765
2011,17,181335.01,186173.4616,367508.4716
2012,16,347436.5523,495774.3095,843210.8618
2012,17,181552.9799,186426.9829,367979.9627
2013,16,349603.1751,498905.198,848508.3732
2013,17,182103.3695,187428.3751,369531.7446
2014,16,349629.4012,503869.1212,853498.5224
2014,17,182809.8056,188130.889,370940.6946
2015,16,347621.9002,511423.9808,859045.881
2015,17,183611.5437,188974.3363,372585.88
2016,16,348096.3656,517305.5284,865401.8941
2016,17,184320.3691,190250.8512,374571.2202
2017,16,349424.1143,523183.5938,872607.7082
2017,17,184795.1689,192119.6499,376914.8188
2018,16,350346.8171,528515.7013,878862.5184
2018,17,185054.5467,193780.1408,378834.6875
2019,16,351781.8078,534683.1917,886464.9994
2019,17,185585.1187,195740.8678,381325.9866
2020,16,353098.7681,540739.2112,893837.9793
2020,17,186052.8846,197653.3692,383706.2537
2021,16,352225.6239,543483.4021,895709.026
2021,17,185364.5627,198346.5543,383711.117
2022,16,352524.2175,548066.492,900590.7095
2022,17,185296.2522,199708.0098,385004.262
2023,16,352734.4178,552556.218,905290.6358
2023,17,185569.8804,201450.375,387020.2554
2024,16,353036.8875,557235.2084,910272.0959
2024,17,185893.3933,203262.4792,389155.8725
2025,16,353535.2748,562272.2464,915807.5212
2025,17,186323.1835,205207.7881,391530.9717
2026,16,353944.8967,567218.8948,921163.7915
2026,17,186707.9143,207121.1466,393829.0609
2027,16,354249.4534,572046.3032,926295.7567
2027,17,187039.2969,208992.4127,396031.7095
2028,16,354477.953,576798.4904,931276.4434
2028,17,187331.5441,210836.4869,398168.031
2029,16,354535.2391,581317.2759,935852.5151
2029,17,187536.6513,212598.1854,400134.8366
2030,16,354478.8354,585691.9091,940170.7445
2030,17,187682.2806,214307.1338,401989.4144
2031,16,381042.4071,566266.5952,947309.0024
2031,17,199314.307,205727.2169,405041.5239
2032,16,383935.4763,570565.9812,954501.4575
2032,17,200827.6033,207289.2033,408116.8066
2033,16,386850.511,574898.0104,961748.5214
2033,17,202352.3893,208863.0491,411215.4385
2034,16,389787.6783,579262.9305,969050.6088
2034,17,203888.7523,210448.8444,414337.5967
2035,16,392747.146,583660.9914,976408.1374
2035,17,205436.7801,212046.6798,417483.4599
2036,16,395729.0835,588092.4446,983821.528
2036,17,206996.5614,213656.6468,420653.2082
2037,16,398733.6613,592557.5436,991291.205
2037,17,208568.1853,215278.8375,423847.0228
2038,16,401761.0515,597056.544,998817.5955
2038,17,210151.7418,216913.3447,427065.0865
2039,16,404353.8708,600909.7292,1005263.6
2039,17,211507.9845,218313.2243,429821.2088
2040,16,406963.4233,604787.7815,1011751.205
2040,17,212872.9799,219722.1383,432595.1182
2041,16,409589.8168,608690.8613,1018280.678
2041,17,214246.7845,221140.1448,435386.9293
2042,16,412233.1601,612619.1302,1024852.29
2042,17,215629.4551,222567.3027,438196.7578
2043,16,414893.5626,616572.7506,1031466.313
2043,17,217021.049,224003.6709,441024.7199
2044,16,417571.1344,620551.8863,1038123.021
2044,17,218421.6237,225449.3089,443870.9326
2045,16,420265.9862,624556.7019,1044822.688
2045,17,219831.2372,226904.2765,446735.5137