cost_type,end_use,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
incentive_dollars_per_first_year_kwh_saved,Interior Lighting,0.78,0.79,0.8,0.81,0.83,0.84,0.85,0.55,0.42,0.39,0.45,0.54,0.61,0.66,0.69,0.7,0.71,0.71,0.72,0.72
incentive_dollars_per_first_year_kwh_saved,Exterior Lighting,0.96,0.96,0.96,0.96,0.96,0.96,0.97,1,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
incentive_dollars_per_first_year_kwh_saved,Cooling,1.01,0.96,0.98,1,1.04,1.02,1,1.01,1.01,1.01,1.02,1.03,1.06,1.1,1.15,1.19,1.27,1.35,1.45,1.53
incentive_dollars_per_first_year_kwh_saved,Heating,2.7,2.68,2.66,2.64,2.66,2.67,2.68,2.69,2.7,2.69,2.68,2.65,2.6,2.55,2.46,2.41,2.3,2.2,2.11,1.6
incentive_dollars_per_first_year_kwh_saved,Ventilation,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,
incentive_dollars_per_first_year_kwh_saved,Hot Water,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69
incentive_dollars_per_first_year_kwh_saved,Motors,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
incentive_dollars_per_first_year_kwh_saved,Plug Loads,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
incentive_dollars_per_first_year_kwh_saved,Miscellaneous,,,,,,,,,,,,,,,,,,,,
incentive_dollars_per_first_year_kwh_saved,Whole Building,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.12,0.12,0.12,0.12,0.12
incentive_dollars_per_first_year_kwh_saved,Whole Building_NC,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
incentive_dollars_per_first_year_kwh_saved,Refrigeration,0.04,0.05,0.06,0.08,0.1,0.13,0.18,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.47
incentive_dollars_per_first_year_kwh_saved,Whole Building_HVAC,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,,,,,,,,,,
incentive_dollars_per_first_year_kwh_saved,Cooking,0.45,0.43,0.41,0.4,0.38,0.36,0.34,0.32,0.31,0.3,0.28,0.26,0.26,0.25,0.24,0.21,0.22,0.21,0.21,0.21
incentive_dollars_per_first_year_kwh_saved,Industrial,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
incentive_dollars_per_first_year_kwh_saved,Agriculture,,,,,,,,,,,,,,,,,,,,
nonincentive_dollars_per_first_year_kwh_saved,Interior Lighting,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21
nonincentive_dollars_per_first_year_kwh_saved,Exterior Lighting,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
nonincentive_dollars_per_first_year_kwh_saved,Cooling,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
nonincentive_dollars_per_first_year_kwh_saved,Heating,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
nonincentive_dollars_per_first_year_kwh_saved,Ventilation,0.09,0.09,0.09,0.09,0.09,0.09,0.09,,,,,,,,,,,,,
nonincentive_dollars_per_first_year_kwh_saved,Hot Water,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
nonincentive_dollars_per_first_year_kwh_saved,Motors,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,
nonincentive_dollars_per_first_year_kwh_saved,Plug Loads,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
nonincentive_dollars_per_first_year_kwh_saved,Miscellaneous,,,,,,,,,,,,,,,,,,,,
nonincentive_dollars_per_first_year_kwh_saved,Whole Building,0.24,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.27,0.28,0.28,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.3
nonincentive_dollars_per_first_year_kwh_saved,Whole Building_NC,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
nonincentive_dollars_per_first_year_kwh_saved,Refrigeration,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
nonincentive_dollars_per_first_year_kwh_saved,Whole Building_HVAC,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,,,,,,,,,,
nonincentive_dollars_per_first_year_kwh_saved,Cooking,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
nonincentive_dollars_per_first_year_kwh_saved,Industrial,0.13,0.12,0.12,0.11,0.1,0.09,0.08,0.06,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
nonincentive_dollars_per_first_year_kwh_saved,Agriculture,,,,,,,,,,,,,,,,,,,,
measure_cost_per_first_year_kwh_saved,Interior Lighting,0.92,0.93,0.94,0.96,0.98,0.99,1,0.65,0.5,0.43,0.45,0.54,0.62,0.66,0.69,0.7,0.71,0.71,0.72,0.72
measure_cost_per_first_year_kwh_saved,Exterior Lighting,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.15,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31,1.31
measure_cost_per_first_year_kwh_saved,Cooling,1.19,1.11,1.11,1.13,1.15,1.11,1.08,1.08,1.07,1.06,1.07,1.08,1.11,1.16,1.23,1.28,1.38,1.49,1.6,1.73
measure_cost_per_first_year_kwh_saved,Heating,2.7,2.68,2.66,2.64,2.66,2.67,2.68,2.69,2.7,2.69,2.68,2.65,2.6,2.55,2.46,2.41,2.3,2.2,2.11,1.6
measure_cost_per_first_year_kwh_saved,Ventilation,0.16,0.16,0.16,0.16,0.16,0.16,0.16,,,,,,,,,,,,,
measure_cost_per_first_year_kwh_saved,Hot Water,1.74,1.74,1.74,1.74,1.74,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.73,1.74,1.74,1.74,1.74,1.74,1.74
measure_cost_per_first_year_kwh_saved,Motors,4.33,4.25,4.15,4.15,4.15,4.16,4.07,0.8,0.79,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
measure_cost_per_first_year_kwh_saved,Plug Loads,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
measure_cost_per_first_year_kwh_saved,Miscellaneous,,,,,,,,,,,,,,,,,,,,
measure_cost_per_first_year_kwh_saved,Whole Building,0.95,0.93,0.88,0.78,0.69,0.59,0.52,0.46,0.41,0.32,0.28,0.28,0.28,0.29,0.29,0.29,0.29,0.3,0.3,0.3
measure_cost_per_first_year_kwh_saved,Whole Building_NC,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
measure_cost_per_first_year_kwh_saved,Refrigeration,0.16,0.16,0.18,0.2,0.22,0.26,0.31,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.65,0.65,0.64,0.64
measure_cost_per_first_year_kwh_saved,Whole Building_HVAC,0.39,0.4,0.4,0.4,0.4,0.41,0.41,0.41,0.41,0.42,,,,,,,,,,
measure_cost_per_first_year_kwh_saved,Cooking,0.62,0.59,0.56,0.54,0.52,0.49,0.47,0.44,0.42,0.4,0.39,0.36,0.35,0.34,0.33,0.29,0.29,0.29,0.29,0.29
measure_cost_per_first_year_kwh_saved,Industrial,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
measure_cost_per_first_year_kwh_saved,Agriculture,,,,,,,,,,,,,,,,,,,,
weighted_avg_eul,Interior Lighting,13.4,13.3,13.3,13.3,13.3,13.3,13.3,11.8,10.7,10.8,10.4,11.3,12,12.5,12.6,12.7,12.7,12.7,12.8,12.8
weighted_avg_eul,Exterior Lighting,11.9,11.9,11.9,11.9,11.9,11.9,11.9,11.9,12,12,12,12,12,12,12,12,12,12,12,12
weighted_avg_eul,Cooling,10.4,10.1,10.1,10.1,10.1,9.9,9.7,9.6,9.6,9.5,9.5,9.5,9.6,9.7,9.8,9.9,10.2,10.4,10.7,11.2
weighted_avg_eul,Heating,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
weighted_avg_eul,Ventilation,15,15,15,15,15,15,15,,,,,,,,,,,,,
weighted_avg_eul,Hot Water,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
weighted_avg_eul,Motors,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,
weighted_avg_eul,Plug Loads,8,8,8,8,8.1,8.1,8.1,8.6,10,10,10,10,10,10,10,10,10,10,10,10
weighted_avg_eul,Miscellaneous,,,,,,,,,,,,,,,,,,,,
weighted_avg_eul,Whole Building,10.4,10,9.3,8.2,7.2,6.3,5.4,4.8,4.3,3.3,3,3,3,3,3,3,3,3,3,2.9
weighted_avg_eul,Whole Building_NC,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
weighted_avg_eul,Refrigeration,5.5,5.6,5.8,6.1,6.4,6.8,7.5,12,12,12,12,12,12,12,12,12,12,12,12,12
weighted_avg_eul,Whole Building_HVAC,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,
weighted_avg_eul,Cooking,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
weighted_avg_eul,Industrial,10.3,10.1,10.6,11.2,11.8,12.4,12.8,13.2,14.9,15,15,15,15,15,15,15,15,15,15,15
weighted_avg_eul,Agriculture,,,,,,,,,,,,,,,,,,,,
first_year_savings,Interior Lighting,101538288,103017407,94328698,82019107,68459185,55147045,43425031,24436760,14124695,9751452,3838748,3826207,4074254,4657986,5559312,6831963,8436984,8158811,7900257,7842417
first_year_savings,Exterior Lighting,48248091,49029667,46499189,41922238,36124593,29962901,24113165,5433179,750130,937663,1172078,1465098,1831372,2289215,2861519,3576899,4471123,4359345,4250362,4245573
first_year_savings,Cooling,15364046,19795581,21352990,22416006,23952014,27508084,31020876,33270811,35279128,35792442,35173386,33182989,30285597,26753348,23060094,19104571,16104448,13537958,11434643,8968151
first_year_savings,Heating,682951,812161,919645,1020985,1155096,1264072,1338493,1371373,1358774,1301394,1206007,1084839,952572,820881,681989,531957,444827,386854,339379,210014
first_year_savings,Ventilation,8662579,8577325,8362892,8153819,7949974,7751225,6358714,0,0,0,0,0,0,0,0,0,0,0,0,0
first_year_savings,Hot Water,232299,353835,393229,421402,464193,581026,703780,819076,910167,960740,960712,910091,819007,703626,580868,463947,360880,274967,206293,152944
first_year_savings,Motors,135154,136995,137464,133942,130474,127081,106793,16179,15678,15039,18686,18219,17763,17319,16886,16464,16053,15651,9545,0
first_year_savings,Plug Loads,237697,241811,230126,208558,181106,151887,124112,33381,10856,11815,10321,10523,10114,9408,8391,7235,6010,4761,3639,2680
first_year_savings,Miscellaneous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
first_year_savings,Whole Building,8692529,9121126,9415111,10261217,10682448,11505010,12279526,12493365,13136074,13215952,14155027,15065693,16435217,17148100,18110882,19664643,21197144,21842031,23053269,21908840
first_year_savings,Whole Building_NC,3695012,3381487,4194864,5848041,7870896,10017604,11344077,18587661,20168261,22702294,24543998,29004957,31178816,28905616,46488805,32758750,39505983,34520797,47262706,48765889
first_year_savings,Refrigeration,1460523,1470975,1479719,1507545,1557614,1637189,1558831,721806,913429,1110410,1295083,1459525,1524019,1607600,1641299,1634934,1563358,1460028,1323020,1155331
first_year_savings,Whole Building_HVAC,15671847,15800420,14854298,13288119,11346768,9307391,7384784,5717680,4328478,1127442,0,0,0,0,0,0,0,0,0,0
first_year_savings,Cooking,659740,797500,934523,1047713,1143845,1227695,1270526,1268971,1227380,1161973,1086992,1000799,901098,828353,744482,563813,503555,407281,304819,209898
first_year_savings,Industrial,5162583,6008848,5941915,5829373,5639964,5338925,4948304,3988669,2807923,2740574,2706587,2673023,2639875,2607138,2574807,2143058,2022662,1661425,1194047,727785
first_year_savings,Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0