day,hour_starting,period
tues,0,base
tues,1,base
tues,2,base
tues,3,base
tues,4,base
tues,5,base
tues,6,base
tues,7,base
tues,8,base
tues,9,base
tues,10,low
tues,11,low
tues,12,low
tues,13,high
tues,14,high
tues,15,high
tues,16,high
tues,17,low
tues,18,low
tues,19,low
tues,20,base
tues,21,base
tues,22,base
tues,23,base
wed,0,base
wed,1,base
wed,2,base
wed,3,base
wed,4,base
wed,5,base
wed,6,base
wed,7,base
wed,8,base
wed,9,base
wed,10,low
wed,11,low
wed,12,low
wed,13,high
wed,14,high
wed,15,high
wed,16,high
wed,17,low
wed,18,low
wed,19,low
wed,20,base
wed,21,base
wed,22,base
wed,23,base
thurs,0,base
thurs,1,base
thurs,2,base
thurs,3,base
thurs,4,base
thurs,5,base
thurs,6,base
thurs,7,base
thurs,8,base
thurs,9,base
thurs,10,low
thurs,11,low
thurs,12,low
thurs,13,high
thurs,14,high
thurs,15,high
thurs,16,high
thurs,17,low
thurs,18,low
thurs,19,low
thurs,20,base
thurs,21,base
thurs,22,base
thurs,23,base
fri,0,base
fri,1,base
fri,2,base
fri,3,base
fri,4,base
fri,5,base
fri,6,base
fri,7,base
fri,8,base
fri,9,base
fri,10,low
fri,11,low
fri,12,low
fri,13,high
fri,14,high
fri,15,high
fri,16,high
fri,17,low
fri,18,low
fri,19,low
fri,20,base
fri,21,base
fri,22,base
fri,23,base
sat,0,base
sat,1,base
sat,2,base
sat,3,base
sat,4,base
sat,5,base
sat,6,base
sat,7,base
sat,8,base
sat,9,base
sat,10,base
sat,11,base
sat,12,base
sat,13,base
sat,14,base
sat,15,base
sat,16,base
sat,17,base
sat,18,base
sat,19,base
sat,20,base
sat,21,base
sat,22,base
sat,23,base
sun,0,base
sun,1,base
sun,2,base
sun,3,base
sun,4,base
sun,5,base
sun,6,base
sun,7,base
sun,8,base
sun,9,base
sun,10,base
sun,11,base
sun,12,base
sun,13,base
sun,14,base
sun,15,base
sun,16,base
sun,17,base
sun,18,base
sun,19,base
sun,20,base
sun,21,base
sun,22,base
sun,23,base
mon,0,base
mon,1,base
mon,2,base
mon,3,base
mon,4,base
mon,5,base
mon,6,base
mon,7,base
mon,8,base
mon,9,base
mon,10,low
mon,11,low
mon,12,low
mon,13,high
mon,14,high
mon,15,high
mon,16,high
mon,17,low
mon,18,low
mon,19,low
mon,20,base
mon,21,base
mon,22,base
mon,23,base