,state,facility_name,facility_id,year,date,hour,load_mw,so2_lb,nox_lb,co2_short_tons,heat_input_mmbtu
0,CA,Harbor Generating Station,399,2019,1/1/19,0,0.0,0.0,0.0,0.0,0.0
1,CA,Harbor Generating Station,399,2019,1/1/19,1,0.0,0.0,0.0,0.0,0.0
2,CA,Harbor Generating Station,399,2019,1/1/19,2,0.0,0.0,0.0,0.0,0.0
3,CA,Harbor Generating Station,399,2019,1/1/19,3,0.0,0.0,0.0,0.0,0.0
4,CA,Harbor Generating Station,399,2019,1/1/19,4,0.0,0.0,0.0,0.0,0.0
5,CA,Harbor Generating Station,399,2019,1/1/19,5,0.0,0.0,0.0,0.0,0.0
6,CA,Harbor Generating Station,399,2019,1/1/19,6,0.0,0.0,0.0,0.0,0.0
7,CA,Harbor Generating Station,399,2019,1/1/19,7,0.0,0.0,0.0,0.0,0.0
8,CA,Harbor Generating Station,399,2019,1/1/19,8,0.0,0.0,0.0,0.0,0.0
9,CA,Harbor Generating Station,399,2019,1/1/19,9,0.0,0.0,0.0,0.0,0.0
10,CA,Harbor Generating Station,399,2019,1/1/19,10,0.0,0.0,0.0,0.0,0.0
11,CA,Harbor Generating Station,399,2019,1/1/19,11,0.0,0.0,0.0,0.0,0.0
12,CA,Harbor Generating Station,399,2019,1/1/19,12,0.0,0.0,0.0,0.0,0.0
13,CA,Harbor Generating Station,399,2019,1/1/19,13,0.0,0.0,0.0,0.0,0.0
14,CA,Harbor Generating Station,399,2019,1/1/19,14,0.0,0.0,0.0,0.0,0.0
15,CA,Harbor Generating Station,399,2019,1/1/19,15,0.0,0.0,0.0,0.0,0.0
16,CA,Harbor Generating Station,399,2019,1/1/19,16,0.0,0.0,0.0,0.0,0.0
17,CA,Harbor Generating Station,399,2019,1/1/19,17,0.0,0.0,0.0,0.0,0.0
18,CA,Harbor Generating Station,399,2019,1/1/19,18,0.0,0.0,0.0,0.0,0.0
19,CA,Harbor Generating Station,399,2019,1/1/19,19,0.0,0.0,0.0,0.0,0.0
20,CA,Harbor Generating Station,399,2019,1/1/19,20,0.0,0.0,0.0,0.0,0.0
21,CA,Harbor Generating Station,399,2019,1/1/19,21,0.0,0.0,0.0,0.0,0.0
22,CA,Harbor Generating Station,399,2019,1/1/19,22,0.0,0.0,0.0,0.0,0.0
23,CA,Harbor Generating Station,399,2019,1/1/19,23,0.0,0.0,0.0,0.0,0.0
24,CA,Harbor Generating Station,399,2019,1/2/19,0,0.0,0.0,0.0,0.0,0.0
25,CA,Harbor Generating Station,399,2019,1/2/19,1,0.0,0.0,0.0,0.0,0.0
26,CA,Harbor Generating Station,399,2019,1/2/19,2,0.0,0.0,0.0,0.0,0.0
27,CA,Harbor Generating Station,399,2019,1/2/19,3,0.0,0.0,0.0,0.0,0.0
28,CA,Harbor Generating Station,399,2019,1/2/19,4,0.0,0.0,0.0,0.0,0.0
29,CA,Harbor Generating Station,399,2019,1/2/19,5,0.0,0.0,0.0,0.0,0.0
30,CA,Harbor Generating Station,399,2019,1/2/19,6,0.0,0.0,0.0,0.0,0.0
31,CA,Harbor Generating Station,399,2019,1/2/19,7,0.0,0.0,0.0,0.0,0.0
32,CA,Harbor Generating Station,399,2019,1/2/19,8,0.0,0.0,0.0,0.0,0.0
33,CA,Harbor Generating Station,399,2019,1/2/19,9,0.0,0.0,0.0,0.0,0.0
34,CA,Harbor Generating Station,399,2019,1/2/19,10,0.0,0.0,0.0,0.0,0.0
35,CA,Harbor Generating Station,399,2019,1/2/19,11,0.0,0.0,0.0,0.0,0.0
36,CA,Harbor Generating Station,399,2019,1/2/19,12,0.0,0.0,0.0,0.0,0.0
37,CA,Harbor Generating Station,399,2019,1/2/19,13,0.0,0.0,0.0,0.0,0.0
38,CA,Harbor Generating Station,399,2019,1/2/19,14,0.0,0.0,0.0,0.0,0.0
39,CA,Harbor Generating Station,399,2019,1/2/19,15,0.0,0.0,0.0,0.0,0.0
40,CA,Harbor Generating Station,399,2019,1/2/19,16,0.0,0.0,0.0,0.0,0.0
41,CA,Harbor Generating Station,399,2019,1/2/19,17,0.0,0.0,0.0,0.0,0.0
42,CA,Harbor Generating Station,399,2019,1/2/19,18,0.0,0.0,0.0,0.0,0.0
43,CA,Harbor Generating Station,399,2019,1/2/19,19,0.0,0.0,0.0,0.0,0.0
44,CA,Harbor Generating Station,399,2019,1/2/19,20,0.0,0.0,0.0,0.0,0.0
45,CA,Harbor Generating Station,399,2019,1/2/19,21,0.0,0.0,0.0,0.0,0.0
46,CA,Harbor Generating Station,399,2019,1/2/19,22,0.0,0.0,0.0,0.0,0.0
47,CA,Harbor Generating Station,399,2019,1/2/19,23,0.0,0.0,0.0,0.0,0.0
48,CA,Harbor Generating Station,399,2019,1/3/19,0,0.0,0.0,0.0,0.0,0.0
49,CA,Harbor Generating Station,399,2019,1/3/19,1,0.0,0.0,0.0,0.0,0.0
50,CA,Harbor Generating Station,399,2019,1/3/19,2,0.0,0.0,0.0,0.0,0.0
51,CA,Harbor Generating Station,399,2019,1/3/19,3,0.0,0.0,0.0,0.0,0.0
52,CA,Harbor Generating Station,399,2019,1/3/19,4,0.0,0.0,0.0,0.0,0.0
53,CA,Harbor Generating Station,399,2019,1/3/19,5,0.0,0.0,0.0,0.0,0.0
54,CA,Harbor Generating Station,399,2019,1/3/19,6,0.0,0.0,0.0,0.0,0.0
55,CA,Harbor Generating Station,399,2019,1/3/19,7,0.0,0.0,0.0,0.0,0.0
56,CA,Harbor Generating Station,399,2019,1/3/19,8,0.0,0.0,0.0,0.0,0.0
57,CA,Harbor Generating Station,399,2019,1/3/19,9,0.0,0.0,0.0,0.0,0.0
58,CA,Harbor Generating Station,399,2019,1/3/19,10,0.0,0.0,0.0,0.0,0.0
59,CA,Harbor Generating Station,399,2019,1/3/19,11,0.0,0.0,0.0,0.0,0.0
60,CA,Harbor Generating Station,399,2019,1/3/19,12,0.0,0.0,0.0,0.0,0.0
61,CA,Harbor Generating Station,399,2019,1/3/19,13,0.0,0.0,0.0,0.0,0.0
62,CA,Harbor Generating Station,399,2019,1/3/19,14,0.0,0.0,0.0,0.0,0.0
63,CA,Harbor Generating Station,399,2019,1/3/19,15,0.0,0.0,0.0,0.0,0.0
64,CA,Harbor Generating Station,399,2019,1/3/19,16,0.0,0.0,0.0,0.0,0.0
65,CA,Harbor Generating Station,399,2019,1/3/19,17,0.0,0.0,0.0,0.0,0.0
66,CA,Harbor Generating Station,399,2019,1/3/19,18,0.0,0.0,0.0,0.0,0.0
67,CA,Harbor Generating Station,399,2019,1/3/19,19,0.0,0.0,0.0,0.0,0.0
68,CA,Harbor Generating Station,399,2019,1/3/19,20,0.0,0.0,0.0,0.0,0.0
69,CA,Harbor Generating Station,399,2019,1/3/19,21,0.0,0.0,0.0,0.0,0.0
70,CA,Harbor Generating Station,399,2019,1/3/19,22,0.0,0.0,0.0,0.0,0.0
71,CA,Harbor Generating Station,399,2019,1/3/19,23,0.0,0.0,0.0,0.0,0.0
72,CA,Harbor Generating Station,399,2019,1/4/19,0,0.0,0.0,0.0,0.0,0.0
73,CA,Harbor Generating Station,399,2019,1/4/19,1,0.0,0.0,0.0,0.0,0.0
74,CA,Harbor Generating Station,399,2019,1/4/19,2,0.0,0.0,0.0,0.0,0.0
75,CA,Harbor Generating Station,399,2019,1/4/19,3,0.0,0.0,0.0,0.0,0.0
76,CA,Harbor Generating Station,399,2019,1/4/19,4,0.0,0.0,0.0,0.0,0.0
77,CA,Harbor Generating Station,399,2019,1/4/19,5,0.0,0.0,0.0,0.0,0.0
78,CA,Harbor Generating Station,399,2019,1/4/19,6,0.0,0.0,0.0,0.0,0.0
79,CA,Harbor Generating Station,399,2019,1/4/19,7,0.0,0.0,0.0,0.0,0.0
80,CA,Harbor Generating Station,399,2019,1/4/19,8,0.0,0.0,0.0,0.0,0.0
81,CA,Harbor Generating Station,399,2019,1/4/19,9,0.0,0.0,0.0,0.0,0.0
82,CA,Harbor Generating Station,399,2019,1/4/19,10,0.0,0.0,0.0,0.0,0.0
83,CA,Harbor Generating Station,399,2019,1/4/19,11,0.0,0.0,0.0,0.0,0.0
84,CA,Harbor Generating Station,399,2019,1/4/19,12,0.0,0.0,0.0,0.0,0.0
85,CA,Harbor Generating Station,399,2019,1/4/19,13,0.0,0.0,0.0,0.0,0.0
86,CA,Harbor Generating Station,399,2019,1/4/19,14,0.0,0.0,0.0,0.0,0.0
87,CA,Harbor Generating Station,399,2019,1/4/19,15,0.0,0.0,0.0,0.0,0.0
88,CA,Harbor Generating Station,399,2019,1/4/19,16,0.0,0.0,0.0,0.0,0.0
89,CA,Harbor Generating Station,399,2019,1/4/19,17,0.0,0.0,0.0,0.0,0.0
90,CA,Harbor Generating Station,399,2019,1/4/19,18,0.0,0.0,0.0,0.0,0.0
91,CA,Harbor Generating Station,399,2019,1/4/19,19,0.0,0.0,0.0,0.0,0.0
92,CA,Harbor Generating Station,399,2019,1/4/19,20,0.0,0.0,0.0,0.0,0.0
93,CA,Harbor Generating Station,399,2019,1/4/19,21,0.0,0.0,0.0,0.0,0.0
94,CA,Harbor Generating Station,399,2019,1/4/19,22,0.0,0.0,0.0,0.0,0.0
95,CA,Harbor Generating Station,399,2019,1/4/19,23,0.0,0.0,0.0,0.0,0.0
96,CA,Harbor Generating Station,399,2019,1/5/19,0,0.0,0.0,0.0,0.0,0.0
97,CA,Harbor Generating Station,399,2019,1/5/19,1,0.0,0.0,0.0,0.0,0.0
98,CA,Harbor Generating Station,399,2019,1/5/19,2,0.0,0.0,0.0,0.0,0.0
99,CA,Harbor Generating Station,399,2019,1/5/19,3,0.0,0.0,0.0,0.0,0.0
